# 2004 Mw6.0 Parkfield earthquake coseismic slip model from
#
#   Bruhat L. S. Barbot and J.-P. Avouac, "Evidence for 
#   postseismic deformation of the lower crust following the 
#   2004 Mw6.0 Parkfield earthquake", J.G.R, 116(B08401), 2011
#
# Conventions and units:
#
# slip - amplitude of slip (m)
# x1   - positive north (km)
# x2   - positive east (km)
# x3   - positive down (km)
# l    - patch length in the strike direction (km)
# w    - patch width in the dip direction (km)
# str  - strike angle (degree)
# d    - dip angle (degree)
# rak  - slip rake (degree)
#
# Geometry:
#
#                 N (x1)
#                /
#               /| Strike
#   x1,x2,x3 ->@------------------------      (x2)
#              |\        p .            \ W
#              :-\      i .              \ i
#              |  \    l .                \ d
#              :90 \  S .                  \ t
#              |-Dip\  .                    \ h
#              :     \. | Rake               \
#              |      -------------------------
#              :             L e n g t h
#              Z (x3)
#              
#  n      slip        x1        x2        x3    length     width   strike      dip     rake
0240     0.000   25500.0  -21700.0    3000.0    2000.0    1000.0   -44.00    90.00   180.00
0241     0.000   -1860.0    4630.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0242     0.000    -420.0    3240.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0243     0.000    1020.0    1850.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0244     0.065    2450.0     465.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0245     0.141    3890.0    -924.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0246     0.099    5330.0   -2320.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0247     0.000    6770.0   -3710.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0248     0.442    8210.0   -5090.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0249     0.234    9650.0   -6480.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0250     0.103   11100.0   -7870.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0251     0.115   12500.0   -9260.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0252     0.142   14000.0  -10600.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0253     0.301   15400.0  -12000.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0254     0.064   16800.0  -13400.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
0255     0.009   18300.0  -14800.0    2000.0    2000.0    1000.0   -44.00    90.00   180.00
