> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
 -3140640.34   3286234.41
 -3138144.20   3283860.12
 -3136092.27   3281751.24
 -3134597.49   3280196.05
 -3133855.57   3278949.65
> Pen up flag, same line
 -3133041.26   3279718.60
 -3132787.29   3279523.24
 -3130053.25   3278416.70
 -3127510.06   3277078.60
 -3124907.43   3275302.30
 -3121720.86   3273045.69
 -3119112.95   3271283.96
 -3116220.27   3269109.52
 -3113280.27   3266763.74
 -3111249.05   3265197.69
 -3107828.62   3262686.17
 -3106109.82   3261454.50
 -3104191.08   3260179.22
 -3101465.33   3258138.91
 -3099977.85   3256860.68
 -3098173.92   3254951.02
 -3096300.19   3253239.33
 -3093971.24   3251291.24
 -3091267.90   3248875.41
 -3088647.13   3246529.41
 -3087563.18   3245631.15
 -3085131.56   3243665.72
 -3082979.63   3241513.01
 -3080946.01   3239636.72
 -3078695.84   3237764.45
 -3076281.39   3235745.69
 -3073647.06   3233120.07
 -3071318.70   3231160.28
 -3068482.15   3228806.12
 -3066196.12   3226721.35
 -3063253.15   3223737.97
 -3060012.10   3220369.89
 -3057496.93   3217383.05
 -3054079.47   3213895.92
 -3050940.87   3210843.97
 -3048402.87   3208542.78
 -3045995.37   3206171.29
 -3043371.05   3203805.53
 -3041494.48   3201759.69
 -3039552.42   3199589.41
 -3037964.35   3197320.39
 -3034933.23   3193932.33
 -3032927.58   3192261.51
 -3029434.39   3188968.10
 -3027137.28   3186569.98
 -3025135.32   3184246.67
 -3023027.42   3182237.46
 -3020730.23   3180153.31
 -3018728.55   3178143.53
 -3016872.58   3176016.03
 -3014853.80   3174054.45
 -3013211.48   3172245.10
 -3011591.50   3170688.73
 -3010540.85   3169348.00
 -3009462.89   3168088.72
 -3008188.24   3166777.46
 -3007964.83   3166484.54
> Pen up flag, same line
 -3008349.91   3166612.27
 -3007818.32   3165959.71
 -3005336.68   3163129.89
 -3003334.54   3160139.04
 -3001559.07   3157751.97
 -2999281.63   3155264.93
 -2996982.93   3152515.51
 -2994879.33   3149819.16
 -2992256.75   3146748.71
 -2990247.97   3144408.01
 -2987360.47   3142140.71
 -2984568.65   3139252.25
 -2981699.62   3136597.52
 -2979279.77   3134527.14
 -2977119.89   3132311.98
 -2974675.77   3130313.56
 -2972382.56   3128506.44
 -2968998.24   3126117.05
 -2965970.68   3123282.06
 -2963360.69   3120801.72
 -2961233.16   3117813.24
 -2960314.98   3115036.08
 -2959759.40   3112785.41
 -2958957.70   3110635.23
 -2957422.99   3108774.90
 -2955344.99   3106946.02
 -2951873.42   3105810.17
 -2949450.24   3105061.69
 -2945927.44   3104091.05
 -2942518.82   3102430.66
 -2939670.44   3100682.30
 -2936754.40   3098812.01
 -2934168.10   3096907.64
 -2930276.91   3093750.63
 -2927461.70   3090885.81
 -2924263.59   3088221.16
 -2920866.86   3084834.46
 -2918298.24   3081850.84
 -2915895.92   3079010.53
 -2912991.28   3075735.24
 -2910250.00   3072272.00
 -2907083.16   3068806.03
 -2904879.28   3064968.86
 -2902869.58   3061867.51
 -2900682.28   3057620.74
 -2899256.72   3054335.55
 -2898272.30   3052711.13
 -2897783.49   3051887.44
