time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-08-25T22:51:36.710Z,32.0765,131.733,36.49,5.2,mwr,,40,1.228,0.83,us,us100034x5,2015-11-24T02:09:36.040Z,"22km ESE of Takanabe, Japan",earthquake,5.4,4.2,0.052,35,reviewed,us,us
2015-08-21T07:54:37.120Z,33.3163,132.1859,46.91,4.4,mwr,,52,1.113,0.83,us,us100033w5,2015-11-24T02:09:26.040Z,"36km WNW of Uwajima, Japan",earthquake,5.8,6.2,0.078,16,reviewed,us,us
2015-08-17T11:40:33.820Z,30.8186,131.0266,7.83,5.1,mb,,43,0.846,0.7,us,us100032uc,2015-11-17T00:13:33.040Z,"9km NNE of Nishinoomote, Japan",earthquake,5.6,3.6,0.036,253,reviewed,us,us
2015-08-04T04:39:47.800Z,30.7055,131.5222,24.03,4.8,mb,,136,1.218,0.66,us,us10002xsz,2015-10-30T02:47:47.040Z,"50km E of Nishinoomote, Japan",earthquake,6.5,6.1,0.08,49,reviewed,us,us
2015-08-02T02:50:36.010Z,30.6708,131.4944,28.99,4.1,mb,,134,1.223,0.89,us,us100033pa,2015-10-30T02:47:43.040Z,"47km E of Nishinoomote, Japan",earthquake,7.4,6.2,0.234,5,reviewed,us,us
2015-08-01T21:51:42.150Z,30.6746,131.4282,34.42,4.8,mb,,107,1.18,0.67,us,us10002x76,2015-10-30T02:47:42.040Z,"41km E of Nishinoomote, Japan",earthquake,6.9,5.7,0.068,66,reviewed,us,us
2015-08-01T15:52:34.380Z,30.5967,131.4249,35.65,4.5,mb,,70,1.234,0.81,us,us10002x57,2015-10-30T02:47:42.040Z,"43km ESE of Nishinoomote, Japan",earthquake,6.6,9,0.221,6,reviewed,us,us
2015-07-24T08:53:36.130Z,33.4073,132.3823,44.11,4.6,mwr,,46,1.288,0.87,us,us20002zsq,2015-10-22T20:04:55.040Z,"18km WSW of Ozu, Japan",earthquake,5.2,4.7,0.071,19,reviewed,us,us
2015-07-18T17:13:21.250Z,31.0298,131.4774,27.78,4.7,mwr,,47,0.999,1.12,us,us20002yec,2015-10-14T21:05:42.040Z,"52km SSE of Kushima, Japan",earthquake,5.1,4.8,0.089,12,reviewed,us,us
2015-07-18T09:28:07.170Z,32.0802,131.7846,57.92,4.3,mb,,85,1.269,0.72,us,us20002yc8,2015-10-14T21:05:41.040Z,"27km ESE of Takanabe, Japan",earthquake,5.4,4.7,0.125,21,reviewed,us,us
